ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPC70BM
14_26_00001111	-5.7811	-2.2501	4.106	2.8319	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13sccc%12%13)c%12sccc%11%12)c%11sccc%10%11)c%10sccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1SC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	14	26				-5.74587011652766	-1.1283738845636144	3.155846176371038	1.5456666323574941
14_26_0011	-5.8152	-2.2395	4.2330000000000005	2.5819	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13sccc%12%13)c%12sccc%11%12)cccc9%10)cccc78)c7sccc67)c6sccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1SC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	14	26				-5.776952573066881	-1.119269500912509	3.2256410834142946	1.5767456624433476
12_26_0011	-5.4864	-2.1732	3.9530000000000003	2.5604	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)cccc9%10)cccc78)c7[nH]ccc67)c6[nH]ccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1NC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	12	26				-5.477248417345584	-1.062324157887203	3.0717625482008164	1.2770745453691776
12_26_00001111	-5.4086	-2.1373	3.7539999999999996	2.2728	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)c%11[nH]ccc%10%11)c%10[nH]ccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1NC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	12	26				-5.406333017968709	-1.0314895000499706	2.9623988749598085	1.2061669635310692
9_26_0011	-5.4499	-2.6371	3.0269999999999997	5.1561	c1ccc2c(-c3cccc4c(-c5cc6oc(-c7cc8oc(-c9cccc%10c(-c%11cccc%12c(-c%13cc%14oc(-c%15cc%16occc%16o%15)cc%14o%13)cccc%11%12)cccc9%10)cc8o7)cc6o5)cccc34)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.443978339231756	-1.4607697782407434	2.562864249601956	1.2438081348667245
9_26_00001111	-5.4289	-2.6407	2.86	5.1063	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10oc(-c%11cc%12oc(-c%13cc%14oc(-c%15cc%16occc%16o%15)cc%14o%13)cc%12o%11)cc%10o9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.424836650453934	-1.4638618330656463	2.4710866946710603	1.224668556221475
9_26_01	-5.4856	-2.7824	3.13	5.4435	c1ccc2c(-c3cc4oc(-c5cccc6c(-c7cc8oc(-c9cccc%10c(-c%11cc%12oc(-c%13cccc%14c(-c%15cc%16occc%16o%15)cccc%13%14)cc%12o%11)cccc9%10)cc8o7)cccc56)cc4o3)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.476519210154049	-1.5855685465903209	2.6194695679126285	1.276345418563646
50_26_01	-5.3394	-2.7686	3.388	6.2926	c1ccc2c(-c3cc4sc5cc(-c6cccc7c(-c8cc9sc%10cc(-c%11cccc%12c(-c%13cc%14sc%15cc(-c%16cccc%17c(-c%18cc%19sc%20ccsc%20c%19s%18)cccc%16%17)sc%15c%14s%13)cccc%11%12)sc%10c9s8)cccc67)sc5c4s3)cccc2c1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	50	26				-5.343256595900845	-1.5737156697615244	2.7612576467879046	1.1430974948524424
17_26_01	-5.9899	-3.8514	3.5639999999999996	2.8037	c1ccc2c(-c3ccc(-c4cccc5c(-c6ccc(-c7cccc8c(-c9ccc(-c%10cccc%11c(-c%12cccc%13nsnc%12%13)cccc%10%11)c%10nsnc9%10)cccc78)c7nsnc67)cccc45)c4nsnc34)cccc2c1	BrC1=CC=C(Br)C2=NSN=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)C2=NSN=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	17	26				-5.936193193518554	-2.503737048763061	2.8579812974935197	1.7359687286016718
17_26_00001111	-6.0018	-4.0734	3.093	2.6274	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13nsnc%12%13)c%12nsnc%11%12)c%11nsnc%10%11)c%10nsnc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=NSN=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=NSN=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	17	26				-5.947040150492652	-2.694413762965445	2.599135618616562	1.7468144898339795
52_26_01	-5.5329	-2.8504	3.39	6.2749	c1ccc2c(-c3cc4cc5oc(-c6cccc7c(-c8cc9cc%10oc(-c%11cccc%12c(-c%13cc%14cc%15oc(-c%16cccc%17c(-c%18cc%19cc%20occc%20cc%19o%18)cccc%16%17)cc%15cc%14o%13)cccc%11%12)cc%10cc9o8)cccc67)cc5cc4o3)cccc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	52	26				-5.519633585353615	-1.6439740266162763	2.7623567791822867	1.3194550409407986
52_26_00001111	-5.5695	-2.8087	3.196	6.4625	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10cc%11oc(-c%12cc%13cc%14oc(-c%15cc%16cc%17oc(-c%18cc%19cc%20occc%20cc%19o%18)cc%17cc%16o%15)cc%14cc%13o%12)cc%11cc%10o9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	52	26				-5.552994814366387	-1.6081577248944772	2.6557409369272342	1.3528125922939447
