ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_PN1
50_26_01	-5.3394	-2.7686	3.388	6.2926	c1ccc2c(-c3cc4sc5cc(-c6cccc7c(-c8cc9sc%10cc(-c%11cccc%12c(-c%13cc%14sc%15cc(-c%16cccc%17c(-c%18cc%19sc%20ccsc%20c%19s%18)cccc%16%17)sc%15c%14s%13)cccc%11%12)sc%10c9s8)cccc67)sc5c4s3)cccc2c1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	50	26				-5.343256595900845	-1.5737156697615244	2.7612576467879046	1.1930919829757307
52_26_01	-5.5329	-2.8504	3.39	6.2749	c1ccc2c(-c3cc4cc5oc(-c6cccc7c(-c8cc9cc%10oc(-c%11cccc%12c(-c%13cc%14cc%15oc(-c%16cccc%17c(-c%18cc%19cc%20occc%20cc%19o%18)cccc%16%17)cc%15cc%14o%13)cccc%11%12)cc%10cc9o8)cccc67)cc5cc4o3)cccc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	52	26				-5.519633585353615	-1.6439740266162763	2.7623567791822867	1.369449529064087
52_26_00001111	-5.5695	-2.8087	3.196	6.4625	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10cc%11oc(-c%12cc%13cc%14oc(-c%15cc%16cc%17oc(-c%18cc%19cc%20occc%20cc%19o%18)cc%17cc%16o%15)cc%14cc%13o%12)cc%11cc%10o9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	52	26				-5.552994814366387	-1.6081577248944772	2.6557409369272342	1.402807080417233
54_26_00001111	-5.7144	-2.3799	4.075	6.143	c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5ccc6c(c5)Cc5cc(-c7ccc8c(c7)Cc7cc(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)ccc7-8)ccc5-6)ccc3-4)ccc1-2	BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	54	26				-5.685072466933344	-1.2398596390837469	3.1388096242581174	1.534870173069445
54_26_0011	-5.7353	-2.3587	4.11	6.0448	c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)Cc9cc(-c%11ccc%12c(c%11)Cc%11cc(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)ccc%11-%12)ccc9-%10)cccc78)cccc56)ccc3-4)ccc1-2	BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	54	26	3.3668843282979286	-5.691047010439086	-1.293317268727784	-5.704123004812223	-1.221650871781537	3.1580444411598023	1.5539186108640013
1_26_01	-5.5452	-2.6183	3.2239999999999998	3.3068	c1coc(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)o%10)cccc89)o7)cccc56)o4)cccc23)c1	BrC1=CC=C(Br)O1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	2	26				-5.5308451459234815	-1.4446223808218024	2.6711287904485825	1.3806598536991614
55_26_00001111	-5.6595	-2.2299	4.126	0.0251	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)[nH]c9cc(-c%11ccc%12c(c%11)[nH]c%11cc(-c%13ccc%14c(c%13)[nH]c%13cc(-c%15ccc%16c(c%15)[nH]c%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(C=C1)C1=C(N2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(N2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	55	26				-5.635030623414187	-1.1110240213794336	3.166837500314859	1.4848338460397257
59_26_0011	-5.5702	-2.7839	3.346	1.8323	c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12cc%13c(-c%14cccc%15cc%16c(-c%17cccc%18c(-c%19cccc%20ccccc%19%20)cccc%17%18)cccc%16cc%14%15)cccc%13cc%11%12)cccc9%10)cccc78)cccc6cc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.553632870658982	-1.586856902767364	2.7381758665058835	1.4034450663720766
59_26_00001111	-5.5622	-2.7763	3.3089999999999997	1.5085	c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8cc9c(-c%10cccc%11cc%12c(-c%13cccc%14c(-c%15cccc%16c(-c%17cccc%18c(-c%19cccc%20ccccc%19%20)cccc%17%18)cccc%15%16)cccc%13%14)cccc%12cc%10%11)cccc9cc78)cccc6cc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.546340798743621	-1.5803292314703454	2.7178419172098165	1.396153798316743
59_26_01	-5.5664	-2.7822	3.409	2.0551	c1ccc2cc3c(-c4cccc5c(-c6cccc7cc8c(-c9cccc%10c(-c%11cccc%12cc%13c(-c%14cccc%15c(-c%16cccc%17cc%18c(-c%19cccc%20ccccc%19%20)cccc%18cc%16%17)cccc%14%15)cccc%13cc%11%12)cccc9%10)cccc8cc67)cccc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.550169136499185	-1.5853967657667152	2.772798536928916	1.399981714045792
