ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,TDDFT_Opticalgap,DFT_IP,DFT_EA,IP_cal,EA_cal,Opticalgap_cal
18_18_01,-5.7499,-2.4991,4.122,5.1114,c1ccc2cc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16ccccc%16c%15)ccc%14c%13)ccc%12c%11)ccc%10c9)ccc8c7)ccc6c5)ccc4c3)ccc2c1,BrC1=CC2=CC=C(Br)C=C2C=C1,BrC1=CC2=CC=C(Br)C=C2C=C1,AB,"['AB', 'BrC1=CC2=CC=C(Br)C=C2C=C1', 'BrC1=CC2=CC=C(Br)C=C2C=C1']",18,18,,,,-5.717431036057755,-1.3422410099527742,3.164639235526094
30_30_01,-6.631,-3.6972,3.552,0.0009,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16cccnc%15%16)ccnc%13%14)ccnc%11%12)ccnc9%10)ccnc78)ccnc56)ccnc34)ccnc2c1,BrC1=CC=NC2=C(Br)C=CN=C12,BrC1=CC=NC2=C(Br)C=CN=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=CN=C12', 'BrC1=CC=NC2=C(Br)C=CN=C12']",30,30,,,,-6.520561606635716,-2.3712940337630273,2.851386503127228
16_16_01,-6.388999999999999,-4.4095,2.426,5.1942,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)c7nonc67)c6nonc56)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1,BrC1=CC=C(Br)C2=NON=C12,BrC1=CC=C(Br)C2=NON=C12,AB,"['AB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)C2=NON=C12']",16,16,,,,-6.299976431196075,-2.9830914370349104,2.232574965090169
61_61_01,-6.23,-3.1474,4.1960000000000015,9.423,O=S1(=O)c2ccccc2-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5ccc6c(c5)S(=O)(=O)c5cc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9ccc%10c(c9)S(=O)(=O)c9cc(-c%11ccc%12c(c%11)S(=O)(=O)c%11cc(-c%13ccc%14c(c%13)S(=O)(=O)c%13cc(-c%15ccc%16c(c%15)S(=O)(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O,AB,"['AB', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O']",61,61,,,,-6.155046501878297,-1.899068549670817,3.205307134118229
0_0_01,-4.343999999999999,-1.2891,3.12,3.055,c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc[nH]8)[nH]7)[nH]6)[nH]5)[nH]4)[nH]3)[nH]2)c1,BrC1=CC=C(Br)N1,BrC1=CC=C(Br)N1,AB,"['AB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=C(Br)N1']",1,1,,,,-4.435940547832178,-0.3029670271379794,2.6139739059407185
27_27_01,-6.3603,-3.0898,4.066,3.2575,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)cccc78)cccc56)cccc34)cccc2c1,BrC1=CC=NC2=C(Br)C=CC=C12,BrC1=CC=NC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=CC=C12', 'BrC1=CC=NC2=C(Br)C=CC=C12']",27,27,,,,-6.273816123199722,-1.8495956724723603,3.133863528483399
14_14_01,-5.6966,-2.2448,4.012,3.0353,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9sccc89)c8sccc78)c7sccc67)c6sccc56)c5sccc45)c4sccc34)c3sccc23)c2sccc2c1,BrC1=CC=C(Br)C2=C1SC=C2,BrC1=CC=C(Br)C2=C1SC=C2,AB,"['AB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=C(Br)C2=C1SC=C2']",14,14,,,,-5.668847606921669,-1.1238216927380618,3.104186953835085
52_52_01,-5.4549,-3.0126,3.214,11.6652,c1cc2cc3oc(-c4cc5cc6oc(-c7cc8cc9oc(-c%10cc%11cc%12oc(-c%13cc%14cc%15oc(-c%16cc%17cc%18oc(-c%19cc%20cc%21oc(-c%22cc%23cc%24occc%24cc%23o%22)cc%21cc%20o%19)cc%18cc%17o%16)cc%15cc%14o%13)cc%12cc%11o%10)cc9cc8o7)cc6cc5o4)cc3cc2o1,BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1,BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1']",52,52,,,,-5.448535884178855,-1.7832882745605407,2.665633128476672
51_51_01,-4.5114,-2.1514,3.273,9.8582,c1cc2cc3[nH]c(-c4cc5cc6[nH]c(-c7cc8cc9[nH]c(-c%10cc%11cc%12[nH]c(-c%13cc%14cc%15[nH]c(-c%16cc%17cc%18[nH]c(-c%19cc%20cc%21[nH]c(-c%22cc%23cc%24[nH]ccc%24cc%23[nH]%22)cc%21cc%20[nH]%19)cc%18cc%17[nH]%16)cc%15cc%14[nH]%13)cc%12cc%11[nH]%10)cc9cc8[nH]7)cc6cc5[nH]4)cc3cc2[nH]1,BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1,BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1', 'BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1']",51,51,,,,-4.5885271526610865,-1.043600048114176,2.6980575341109407
29_29_01,-6.8918,-3.6626,4.039,2.4889,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16ccncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2c1,BrC1=CC=NC2=C(Br)C=NC=C12,BrC1=CC=NC2=C(Br)C=NC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=NC=C12', 'BrC1=CC=NC2=C(Br)C=NC=C12']",29,29,,,,-6.758283151076451,-2.341575951279232,3.1190252411592416
33_33_01,-6.6925,-3.5127,3.884,1.6795,c1cc2cncc(-c3cncc4c(-c5cncc6c(-c7cncc8c(-c9cncc%10c(-c%11cncc%12c(-c%13cncc%14c(-c%15cncc%16ccncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)c2cn1,BrC1=CN=CC2=C(Br)C=NC=C12,BrC1=CN=CC2=C(Br)C=NC=C12,AB,"['AB', 'BrC1=CN=CC2=C(Br)C=NC=C12', 'BrC1=CN=CC2=C(Br)C=NC=C12']",33,33,,,,-6.576619409485045,-2.212826223986722,3.033842480594638
50_50_01,-4.882,-3.1768,2.754,11.4458,c1cc2sc3cc(-c4cc5sc6cc(-c7cc8sc9cc(-c%10cc%11sc%12cc(-c%13cc%14sc%15cc(-c%16cc%17sc%18cc(-c%19cc%20sc%21cc(-c%22cc%23sc%24ccsc%24c%23s%22)sc%21c%20s%19)sc%18c%17s%16)sc%15c%14s%13)sc%12c%11s%10)sc9c8s7)sc6c5s4)sc3c2s1,BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1,BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1,AB,"['AB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1']",50,50,,,,-4.926332384140138,-1.9243203307408625,2.412832677768815
41_41_01,-6.257999999999999,-3.2368,3.692,3.1414,c1ccc2c(-c3ncc(-c4ncc(-c5ncc(-c6ncc(-c7ncc(-c8ncc(-c9nccc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cncc2c1,BrC1=C2C=CC=CC2=C(Br)N=C1,BrC1=C2C=CC=CC2=C(Br)N=C1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=C1', 'BrC1=C2C=CC=CC2=C(Br)N=C1']",41,41,,,,-6.1805687535820555,-1.975854577822588,2.9283257707339674
31_31_01,-6.2939,-2.9075,4.127,2.8044,c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2c1,BrC1=CN=CC2=C(Br)C=CC=C12,BrC1=CN=CC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CN=CC2=C(Br)C=CC=C12', 'BrC1=CN=CC2=C(Br)C=CC=C12']",31,31,,,,-6.213291926302234,-1.6930174517557184,3.167387066512049
22_22_01,-6.627999999999999,-3.6712,3.758,0.0056,c1cnc2ncc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16cccnc%16n%15)cnc%14n%13)cnc%12n%11)cnc%10n9)cnc8n7)cnc6n5)cnc4n3)cc2c1,BrC1=CN=C2N=C(Br)C=CC2=C1,BrC1=CN=C2N=C(Br)C=CC2=C1,AB,"['AB', 'BrC1=CN=C2N=C(Br)C=CC2=C1', 'BrC1=CN=C2N=C(Br)C=CC2=C1']",22,22,,,,-6.5178270796674544,-2.348962526694279,2.964597139748573
