ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,IP_cal,EA_cal,Opticalgap_cal
22_22_01,-6.4699,-4.1521,3.533,0.0001,c1cnc2ccc(-c3ccc4nc(-c5ccc6nc(-c7ccc8nc(-c9ccc%10nc(-c%11ccc%12nc(-c%13ccc%14nc(-c%15ccc%16nc(-c%17ccc%18nc(-c%19ccc%20nc(-c%21ccc%22nc(-c%23ccc%24ncccc%24n%23)ccc%22n%21)ccc%20n%19)ccc%18n%17)ccc%16n%15)ccc%14n%13)ccc%12n%11)ccc%10n9)ccc8n7)ccc6n5)ccc4n3)nc2c1,BrC1=CC=C2N=C(Br)C=CC2=N1,BrC1=CC=C2N=C(Br)C=CC2=N1,AB,"['AB', 'BrC1=CC=C2N=C(Br)C=CC2=N1', 'BrC1=CC=C2N=C(Br)C=CC2=N1']",23.0,23.0,6.373717508440152,2.762009517054307,2.8409447453805994
48_48_01,-5.0906,-3.1702,2.7569999999999997,15.2568,c1cc2oc3cc(-c4cc5oc6cc(-c7cc8oc9cc(-c%10cc%11oc%12cc(-c%13cc%14oc%15cc(-c%16cc%17oc%18cc(-c%19cc%20oc%21cc(-c%22cc%23oc%24cc(-c%25cc%26oc%27cc(-c%28cc%29oc%30cc(-c%31cc%32oc%33cc(-c%34cc%35oc%36ccoc%36c%35o%34)oc%33c%32o%31)oc%30c%29o%28)oc%27c%26o%25)oc%24c%23o%22)oc%21c%20o%19)oc%18c%17o%16)oc%15c%14o%13)oc%12c%11o%10)oc9c8o7)oc6c5o4)oc3c2o1,BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1,BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1,AB,"['AB', 'BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1', 'BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1']",49.0,49.0,5.1164731593331485,1.918651563561871,2.414481376360388
39_39_01,-6.1374,-3.964,3.4389999999999996,5.0271,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13nccnc%12%13)c%12nccnc%11%12)c%11nccnc%10%11)c%10nccnc9%10)c9nccnc89)c8nccnc78)c7nccnc67)c6nccnc56)c5nccnc45)c4nccnc34)c3nccnc23)c2nccnc2c1,BrC1=C2N=CC=NC2=C(Br)C=C1,BrC1=C2N=CC=NC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2N=CC=NC2=C(Br)C=C1', 'BrC1=C2N=CC=NC2=C(Br)C=C1']",40.0,40.0,6.070640769458003,2.600449652453098,2.789285522844646
37_37_01,-6.2533,-3.2623,4.127,0.3182,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13cnncc%12%13)c%12cnncc%11%12)c%11cnncc%10%11)c%10cnncc9%10)c9cnncc89)c8cnncc78)c7cnncc67)c6cnncc56)c5cnncc45)c4cnncc34)c3cnncc23)c2cnncc2c1,BrC1=C2C=NN=CC2=C(Br)C=C1,BrC1=C2C=NN=CC2=C(Br)C=C1,AB,"['AB', 'BrC1=C2C=NN=CC2=C(Br)C=C1', 'BrC1=C2C=NN=CC2=C(Br)C=C1']",38.0,38.0,6.176284661331781,1.9977566328323197,3.1673870665120494
4_4_01,-6.1948,-3.4739,3.85,8.0933,c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccnc%12)nc%11)nc%10)nc9)nc8)nc7)nc6)nc5)nc4)nc3)nc2)nc1,BrC1=CC=C(Br)N=C1,BrC1=CC=C(Br)N=C1,AB,"['AB', 'BrC1=CC=C(Br)N=C1', 'BrC1=CC=C(Br)N=C1']",5.0,5.0,6.122961385450711,2.1795007442072047,3.0151572298901446
13_13_01,-5.5289,-2.5865,4.074,5.3158,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13sccc%12%13)c%12sccc%11%12)c%11sccc%10%11)c%10sccc9%10)c9sccc89)c8sccc78)c7sccc67)c6sccc56)c5sccc45)c4sccc34)c3sccc23)c2sccc2c1,BrC1=CC=C(Br)C2=C1SC=C2,BrC1=CC=C(Br)C2=C1SC=C2,AB,"['AB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=C(Br)C2=C1SC=C2']",14.0,14.0,5.515987549395934,1.4173092298684864,3.138260058060927
17_17_01,-5.5046,-3.0239,3.858,10.31,c1ccc2cc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16cc(-c%17ccc%18cc(-c%19ccc%20cc(-c%21ccc%22cc(-c%23ccc%24ccccc%24c%23)ccc%22c%21)ccc%20c%19)ccc%18c%17)ccc%16c%15)ccc%14c%13)ccc%12c%11)ccc%10c9)ccc8c7)ccc6c5)ccc4c3)ccc2c1,BrC1=CC2=CC=C(Br)C=C2C=C1,BrC1=CC2=CC=C(Br)C=C2C=C1,AB,"['AB', 'BrC1=CC2=CC=C(Br)C=C2C=C1', 'BrC1=CC2=CC=C(Br)C=C2C=C1']",18.0,18.0,5.493837880953028,1.7929938910942642,3.0195537594676725
9_9_01,-4.6761,-3.3076,2.733,14.7623,c1cc2sc(-c3cc4sc(-c5cc6sc(-c7cc8sc(-c9cc%10sc(-c%11cc%12sc(-c%13cc%14sc(-c%15cc%16sc(-c%17cc%18sc(-c%19cc%20sc(-c%21cc%22sc(-c%23cc%24sccc%24s%23)cc%22s%21)cc%20s%19)cc%18s%17)cc%16s%15)cc%14s%13)cc%12s%11)cc%10s9)cc8s7)cc6s5)cc4s3)cc2s1,BrC1=CC2=C(S1)C=C(Br)S2,BrC1=CC2=C(S1)C=C(Br)S2,AB,"['AB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC2=C(S1)C=C(Br)S2']",10.0,10.0,4.738652683218559,2.0366649893790223,2.4012917876278044
27_27_01,-6.3446,-4.0308,3.719,0.0207,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16c(-c%17ccnc%18c(-c%19ccnc%20c(-c%21ccnc%22c(-c%23ccnc%24cnccc%23%24)nccc%21%22)nccc%19%20)nccc%17%18)nccc%15%16)nccc%13%14)nccc%11%12)nccc9%10)nccc78)nccc56)nccc34)nccc2c1,BrC1=CC=NC2=C(Br)N=CC=C12,BrC1=CC=NC2=C(Br)N=CC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)N=CC=C12', 'BrC1=CC=NC2=C(Br)N=CC=C12']",28.0,28.0,6.2595054320658265,2.657824447537419,2.943164058058124
25_25_01,-5.7952,-2.6288,4.287,4.5996,c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16c(-c%17cccc%18c(-c%19cccc%20c(-c%21cccc%22c(-c%23cccc%24ccccc%23%24)cccc%21%22)cccc%19%20)cccc%17%18)cccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)cccc78)cccc56)cccc34)cccc2c1,BrC1=CC=CC2=C(Br)C=CC=C12,BrC1=CC=CC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']",26.0,26.0,5.75872239327848,1.4536408740611027,3.2553176580626086
