ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPCBM
16_2_0011	-5.5901	-3.9481	2.2319999999999998	4.4509	c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)s6)s5)c5nonc45)c4nonc34)s2)c1	BrC1=CC=C(Br)C2=NON=C12	BrC1=CC=C(Br)S1	AABB	['AABB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)S1']	16	3				-5.571771899548438	-2.5867930769764422	2.125959122835116	1.3815865051610832
16_2_00001111	-5.4235	-4.0497	2.305	6.2594	c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)c7nonc67)c6nonc56)s4)s3)s2)c1	BrC1=CC=C(Br)C2=NON=C12	BrC1=CC=C(Br)S1	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)S1']	16	3				-5.419914501911067	-2.674057735368163	2.166077455230059	1.2297458479087833
11_30_0011	-5.2632	-3.7641	2.366	4.1076	c1ccc2c(-c3sc(-c4ccnc5c(-c6ccnc7c(-c8sc(-c9sc(-c%10ccnc%11c(-c%12ccnc%13cccnc%12%13)ccnc%10%11)c%10ccccc9%10)c9ccccc89)ccnc67)ccnc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=NC2=C(Br)C=CN=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=NC2=C(Br)C=CN=C12']	11	30				-5.273799610907042	-2.428754719259151	2.1996009932587097	1.0836470642500575
60_30_00001111	-5.4303	-3.691	2.052	1.4363	c1ccc2c(-c3c4ccccc4c(-c4c5ccccc5c(-c5c6ccccc6c(-c6ccnc7c(-c8ccnc9c(-c%10ccnc%11c(-c%12ccnc%13cccnc%12%13)ccnc%10%11)ccnc89)ccnc67)c6ccccc56)c5ccccc45)c4ccccc34)c3ccccc3cc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=NC2=C(Br)C=CN=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=NC2=C(Br)C=CN=C12']	60	30				-5.426112763039122	-2.365968828231249	2.027037207340737	1.2359434257558157
11_16_01	-5.244	-3.9985	1.994	5.6306	c1ccc2c(-c3ccc(-c4sc(-c5ccc(-c6sc(-c7ccc(-c8sc(-c9cccc%10nonc9%10)c9ccccc89)c8nonc78)c7ccccc67)c6nonc56)c5ccccc45)c4nonc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=C(Br)C2=NON=C12	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=C(Br)C2=NON=C12']	11	16				-5.256298638310176	-2.6300818445250917	1.99516236790366	1.066148020917258
11_16_0011	-5.1981	-4.0429	2.089	5.992000000000001	c1ccc2c(-c3sc(-c4ccc(-c5ccc(-c6sc(-c7sc(-c8ccc(-c9cccc%10nonc9%10)c9nonc89)c8ccccc78)c7ccccc67)c6nonc56)c5nonc45)c4ccccc34)scc2c1	BrC1=C2C=CC=CC2=C(Br)S1	BrC1=CC=C(Br)C2=NON=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)S1', 'BrC1=CC=C(Br)C2=NON=C12']	11	16				-5.2144603756958	-2.668217187365568	2.047371156636804	1.0243143704497888
48_16_00001111	-4.3263	-3.7238	1.344	0.1675	c1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc6[nH]c7cc(-c8cc9[nH]c%10cc(-c%11cc%12[nH]c%13cc(-c%14cc%15[nH]c%16cc[nH]c%16c%15[nH]%14)[nH]c%13c%12[nH]%11)[nH]c%10c9[nH]8)[nH]c7c6[nH]5)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=C(Br)C2=NON=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=C(Br)C2=NON=C12']	48	16				-4.4198068387194445	-2.3941408833025917	1.637944339729514	0.2297484341199218
48_16_0011	-4.5297	-3.477	1.655	0.1414	c1cc(-c2ccc(-c3cc4[nH]c5cc(-c6cc7[nH]c8cc(-c9ccc(-c%10ccc(-c%11cc%12[nH]c%13cc(-c%14cc%15[nH]c%16cc[nH]c%16c%15[nH]%14)[nH]c%13c%12[nH]%11)c%11nonc%10%11)c%10nonc9%10)[nH]c8c7[nH]6)[nH]c5c4[nH]3)c3nonc23)c2nonc2c1	BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1	BrC1=CC=C(Br)C2=NON=C12	AABB	['AABB', 'BrC1=CC2=C(N1)C1=C(N2)C=C(Br)N1', 'BrC1=CC=C(Br)C2=NON=C12']	48	16				-4.605207767167473	-2.1821633469730948	1.8088594270559133	0.41512892442675337
9_16_00001111	-5.5389	-4.1055	2.342	1.814	c1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc6oc(-c7cc8oc(-c9cc%10oc(-c%11cc%12occc%12o%11)cc%10o9)cc8o7)cc6o5)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=C(Br)C2=NON=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=C(Br)C2=NON=C12']	9	16				-5.525102639290135	-2.721984585154168	2.186411404526126	1.3349223896069555
1_16_00001111	-5.6629999999999985	-4.0689	2.292	5.072	c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)c7nonc67)c6nonc56)o4)o3)o2)c1	BrC1=CC=C(Br)O1	BrC1=CC=C(Br)C2=NON=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)O1']	2	16				-5.638220904877157	-2.690548694434316	2.1589330946665757	1.4480281853153016
1_16_0011	-5.7497	-3.8894	2.34	2.6493	c1coc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)o6)o5)c5nonc45)c4nonc34)o2)c1	BrC1=CC=C(Br)O1	BrC1=CC=C(Br)C2=NON=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)O1']	2	16				-5.71724873425987	-2.536375405248154	2.1853122721317435	1.5270473028649685
10_16_00001111	-5.2163	-3.9996	2.3369999999999997	1.094	c1cc(-c2ccc(-c3ccc(-c4ccc(-c5cc6sc(-c7cc8sc(-c9cc%10sc(-c%11cc%12sccc%12s%11)cc%10s9)cc8s7)cc6s5)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=C(Br)C2=NON=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=C(Br)C2=NON=C12']	10	16				-5.231049839303244	-2.6310266390549235	2.1836635735401706	1.0409020052756708
10_16_0011	-5.3955	-3.9214	2.1790000000000003	8.2593	c1cc(-c2ccc(-c3cc4sc(-c5cc6sc(-c7ccc(-c8ccc(-c9cc%10sc(-c%11cc%12sccc%12s%11)cc%10s9)c9nonc89)c8nonc78)cc6s5)cc4s3)c3nonc23)c2nonc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=C(Br)C2=NON=C12	AABB	['AABB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=C(Br)C2=NON=C12']	10	16				-5.394392250207306	-2.5638603370250745	2.096832114383994	1.2042264097151183
0_16_0011	-5.2723	-3.6586	2.246	4.383	c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)[nH]6)[nH]5)c5nonc45)c4nonc34)[nH]2)c1	BrC1=CC=C(Br)N1	BrC1=CC=C(Br)C2=NON=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)N1']	1	16				-5.282094342710764	-2.338140334807117	2.1336530495957904	1.091940881662998
