ID	xTB_IP	xTB_EA	xTB_Opticalgap	xTB_oscillator_strength	Smiles	A	B	Sequence	check	Monomer_no_A	Monomer_no_B	Optical_gap	IP	EA	IP_cal	EA_cal	Opticalgap_cal	V_oc_expPCBM
14_26_0011	-5.8152	-2.2395	4.2330000000000005	2.5819	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13sccc%12%13)c%12sccc%11%12)cccc9%10)cccc78)c7sccc67)c6sccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1SC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	14	26				-5.776952573066881	-1.119269500912509	3.2256410834142946	1.5867445600680048
12_26_0011	-5.4864	-2.1732	3.9530000000000003	2.5604	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)cccc9%10)cccc78)c7[nH]ccc67)c6[nH]ccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1NC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	12	26				-5.477248417345584	-1.062324157887203	3.0717625482008164	1.2870734429938349
12_26_00001111	-5.4086	-2.1373	3.7539999999999996	2.2728	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13[nH]ccc%12%13)c%12[nH]ccc%11%12)c%11[nH]ccc%10%11)c%10[nH]ccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=C1NC=C2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=C1NC=C2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	12	26				-5.406333017968709	-1.0314895000499706	2.9623988749598085	1.2161658611557264
9_26_0011	-5.4499	-2.6371	3.0269999999999997	5.1561	c1ccc2c(-c3cccc4c(-c5cc6oc(-c7cc8oc(-c9cccc%10c(-c%11cccc%12c(-c%13cc%14oc(-c%15cc%16occc%16o%15)cc%14o%13)cccc%11%12)cccc9%10)cc8o7)cc6o5)cccc34)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.443978339231756	-1.4607697782407434	2.562864249601956	1.2538070324913817
9_26_00001111	-5.4289	-2.6407	2.86	5.1063	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10oc(-c%11cc%12oc(-c%13cc%14oc(-c%15cc%16occc%16o%15)cc%14o%13)cc%12o%11)cc%10o9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.424836650453934	-1.4638618330656463	2.4710866946710603	1.2346674538461324
9_26_01	-5.4856	-2.7824	3.13	5.4435	c1ccc2c(-c3cc4oc(-c5cccc6c(-c7cc8oc(-c9cccc%10c(-c%11cc%12oc(-c%13cccc%14c(-c%15cc%16occc%16o%15)cccc%13%14)cc%12o%11)cccc9%10)cc8o7)cccc56)cc4o3)cccc2c1	BrC1=CC2=C(O1)C=C(Br)O2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(O1)C=C(Br)O2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	9	26				-5.476519210154049	-1.5855685465903209	2.6194695679126285	1.2863443161883032
50_26_01	-5.3394	-2.7686	3.388	6.2926	c1ccc2c(-c3cc4sc5cc(-c6cccc7c(-c8cc9sc%10cc(-c%11cccc%12c(-c%13cc%14sc%15cc(-c%16cccc%17c(-c%18cc%19sc%20ccsc%20c%19s%18)cccc%16%17)sc%15c%14s%13)cccc%11%12)sc%10c9s8)cccc67)sc5c4s3)cccc2c1	BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	50	26				-5.343256595900845	-1.5737156697615244	2.7612576467879046	1.1530963924770996
52_26_01	-5.5329	-2.8504	3.39	6.2749	c1ccc2c(-c3cc4cc5oc(-c6cccc7c(-c8cc9cc%10oc(-c%11cccc%12c(-c%13cc%14cc%15oc(-c%16cccc%17c(-c%18cc%19cc%20occc%20cc%19o%18)cccc%16%17)cc%15cc%14o%13)cccc%11%12)cc%10cc9o8)cccc67)cc5cc4o3)cccc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	52	26				-5.519633585353615	-1.6439740266162763	2.7623567791822867	1.3294539385654558
52_26_00001111	-5.5695	-2.8087	3.196	6.4625	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10cc%11oc(-c%12cc%13cc%14oc(-c%15cc%16cc%17oc(-c%18cc%19cc%20occc%20cc%19o%18)cc%17cc%16o%15)cc%14cc%13o%12)cc%11cc%10o9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	52	26				-5.552994814366387	-1.6081577248944772	2.6557409369272342	1.3628114899186021
54_26_00001111	-5.7144	-2.3799	4.075	6.143	c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5ccc6c(c5)Cc5cc(-c7ccc8c(c7)Cc7cc(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)ccc7-8)ccc5-6)ccc3-4)ccc1-2	BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	54	26				-5.685072466933344	-1.2398596390837469	3.1388096242581174	1.494874582570814
54_26_0011	-5.7353	-2.3587	4.11	6.0448	c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)Cc9cc(-c%11ccc%12c(c%11)Cc%11cc(-c%13cccc%14c(-c%15cccc%16ccccc%15%16)cccc%13%14)ccc%11-%12)ccc9-%10)cccc78)cccc56)ccc3-4)ccc1-2	BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(C=C1)C1=C(C2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	54	26	3.3668843282979286	-5.691047010439086	-1.293317268727784	-5.704123004812223	-1.221650871781537	3.1580444411598023	1.5139230203653704
1_26_01	-5.5452	-2.6183	3.2239999999999998	3.3068	c1coc(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)o%10)cccc89)o7)cccc56)o4)cccc23)c1	BrC1=CC=C(Br)O1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	2	26				-5.5308451459234815	-1.4446223808218024	2.6711287904485825	1.3406642632005306
55_26_00001111	-5.6595	-2.2299	4.126	0.0251	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc%10c(c9)[nH]c9cc(-c%11ccc%12c(c%11)[nH]c%11cc(-c%13ccc%14c(c%13)[nH]c%13cc(-c%15ccc%16c(c%15)[nH]c%15ccccc%15%16)ccc%13%14)ccc%11%12)ccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(C=C1)C1=C(N2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(C=C1)C1=C(N2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	55	26				-5.635030623414187	-1.1110240213794336	3.166837500314859	1.4448382555410948
59_26_0011	-5.5702	-2.7839	3.346	1.8323	c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12cc%13c(-c%14cccc%15cc%16c(-c%17cccc%18c(-c%19cccc%20ccccc%19%20)cccc%17%18)cccc%16cc%14%15)cccc%13cc%11%12)cccc9%10)cccc78)cccc6cc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.553632870658982	-1.586856902767364	2.7381758665058835	1.3634494758734457
59_26_00001111	-5.5622	-2.7763	3.3089999999999997	1.5085	c1ccc2cc3c(-c4cccc5cc6c(-c7cccc8cc9c(-c%10cccc%11cc%12c(-c%13cccc%14c(-c%15cccc%16c(-c%17cccc%18c(-c%19cccc%20ccccc%19%20)cccc%17%18)cccc%15%16)cccc%13%14)cccc%12cc%10%11)cccc9cc78)cccc6cc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.546340798743621	-1.5803292314703454	2.7178419172098165	1.3561582078181118
59_26_01	-5.5664	-2.7822	3.409	2.0551	c1ccc2cc3c(-c4cccc5c(-c6cccc7cc8c(-c9cccc%10c(-c%11cccc%12cc%13c(-c%14cccc%15c(-c%16cccc%17cc%18c(-c%19cccc%20ccccc%19%20)cccc%18cc%16%17)cccc%14%15)cccc%13cc%11%12)cccc9%10)cccc8cc67)cccc45)cccc3cc2c1	BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=CC2=C(Br)C=CC=C12', 'BrC1=CC=CC2=CC3=C(Br)C=CC=C3C=C12']	59	26				-5.550169136499185	-1.5853967657667152	2.772798536928916	1.359986123547161
10_26_00001111	-5.1485	-2.8528	2.9330000000000003	5.5182	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cc%10sc(-c%11cc%12sc(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cc%12s%11)cc%10s9)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.1692495298205685	-1.6460353964995451	2.5112050270660027	0.9791085085067275
10_26_01	-5.4319	-2.6665	3.435	5.0438	c1ccc2c(-c3cc4sc(-c5cccc6c(-c7cc8sc(-c9cccc%10c(-c%11cc%12sc(-c%13cccc%14c(-c%15cc%16sccc%16s%15)cccc%13%14)cc%12s%11)cccc9%10)cc8s7)cccc56)cc4s3)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.4275711774221955	-1.4860215593107884	2.7870872580558816	1.2374016793668827
10_26_0011	-5.2769	-2.7342	3.1319999999999997	5.0008	c1ccc2c(-c3cccc4c(-c5cc6sc(-c7cc8sc(-c9cccc%10c(-c%11cccc%12c(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cccc%11%12)cccc9%10)cc8s7)cc6s5)cccc34)cccc2c1	BrC1=CC2=C(S1)C=C(Br)S2	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC=CC2=C(Br)C=CC=C12']	10	26				-5.286287284062096	-1.5441693681013349	2.6205687003070106	1.096133360794815
0_26_0011	-5.0358	-2.2272	3.38	2.3661	c1c[nH]c(-c2ccc(-c3cccc4c(-c5cccc6c(-c7ccc(-c8ccc(-c9cccc%10c(-c%11cccc%12ccccc%11%12)cccc9%10)[nH]8)[nH]7)cccc56)cccc34)[nH]2)c1	BrC1=CC=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	1	26				-5.066522466712934	-1.1087049802607556	2.7568611172103767	0.8763927697772296
0_26_01	-5.2679	-2.2488	3.4	2.6118	c1c[nH]c(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)[nH]%10)cccc89)[nH]7)cccc56)[nH]4)cccc23)c1	BrC1=CC=C(Br)N1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	1	26				-5.278083703157315	-1.127257309210177	2.7678524411541967	1.087930684232565
57_26_0011	-5.8743	-2.4294	4.251	5.2010000000000005	c1ccc2c(-c3cccc4c(-c5ccc6c(c5)sc5cc(-c7ccc8c(c7)sc7cc(-c9cccc%10c(-c%11cccc%12c(-c%13ccc%14c(c%13)sc%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13%14)cccc%11%12)cccc9%10)ccc78)ccc56)cccc34)cccc2c1	BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(C=C1)C1=C(S2)C=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	57	26				-5.830822754341602	-1.28237539292617	3.235533274963733	1.6406088028267731
60_26_01	-5.6459	-2.7544	3.3819999999999997	2.0101	c1ccc2c(-c3c4ccccc4c(-c4cccc5c(-c6c7ccccc7c(-c7cccc8c(-c9c%10ccccc%10c(-c%10cccc%11c(-c%12c%13ccccc%13cc%13ccccc%12%13)cccc%10%11)c%10ccccc9%10)cccc78)c7ccccc67)cccc45)c4ccccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.622634101158075	-1.5615192312855155	2.7579602496047597	1.4324430998470297
60_26_0011	-5.7031	-2.7430000000000003	3.233	1.7511	c1ccc2c(-c3cccc4c(-c5c6ccccc6c(-c6c7ccccc7c(-c7cccc8c(-c9cccc%10c(-c%11c%12ccccc%12c(-c%12c%13ccccc%13cc%13ccccc%12%13)c%12ccccc%11%12)cccc9%10)cccc78)c7ccccc67)c6ccccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.674772415352899	-1.5517277243399883	2.676074886223301	1.484575666442657
60_26_00001111	-5.732	-2.7368	3.177	1.5929	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9c%10ccccc%10c(-c%10c%11ccccc%11c(-c%11c%12ccccc%12c(-c%12c%13ccccc%13cc%13ccccc%12%13)c%12ccccc%11%12)c%11ccccc%10%11)c%10ccccc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=C2C=CC=CC2=C(Br)C2=CC=CC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	60	26				-5.701115025147137	-1.5464025188082098	2.645299179180605	1.510915372292546
49_26_0011	-5.4587	-2.744	2.988	5.8738	c1ccc2c(-c3cccc4c(-c5cc6oc7cc(-c8cc9oc%10cc(-c%11cccc%12c(-c%13cccc%14c(-c%15cc%16oc%17cc(-c%18cc%19oc%20ccoc%20c%19o%18)oc%17c%16o%15)cccc%13%14)cccc%11%12)oc%10c9o8)oc7c6o5)cccc34)cccc2c1	BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC2=C(O1)C1=C(O2)C=C(Br)O1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	49	26				-5.451999618338652	-1.5525866284580163	2.541431167911508	1.2618274273522483
35_26_0011	-5.8774	-2.3455	4.128	2.6673	c1ccc2c(-c3ccc(-c4cccc5c(-c6cccc7c(-c8ccc(-c9ccc(-c%10cccc%11c(-c%12cccc%13ccccc%12%13)cccc%10%11)c%10ccccc9%10)c9ccccc89)cccc67)cccc45)c4ccccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=C2C=CC=CC2=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	35	26				-5.833648432208804	-1.2103133374235573	3.1679366327092406	1.6434341691982142
35_26_01	-5.895	-2.3267	4.027	2.5978	c1ccc2c(-c3cccc4c(-c5ccc(-c6cccc7c(-c8ccc(-c9cccc%10c(-c%11ccc(-c%12cccc%13ccccc%12%13)c%12ccccc%11%12)cccc9%10)c9ccccc89)cccc67)c6ccccc56)cccc34)cccc2c1	BrC1=C2C=CC=CC2=C(Br)C=C1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=C2C=CC=CC2=C(Br)C=C1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	35	26				-5.849690990422597	-1.194165940004617	3.11243044679295	1.6594749589199473
15_26_0011	-5.3168	-2.6848	3.052	1.5096	c1ccc2c(-c3cccc4c(-c5ccc(-c6ccc(-c7cccc8c(-c9cccc%10c(-c%11ccc(-c%12cccc%13cscc%12%13)c%12cscc%11%12)cccc9%10)cccc78)c7cscc67)c6cscc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=CSC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AABB	['AABB', 'BrC1=CC=C(Br)C2=CSC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	15	26				-5.322656492739953	-1.5017395046707147	2.576603404531731	1.132498560220785
15_26_00001111	-5.303	-2.6747	3.015	1.5524	c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9ccc(-c%10ccc(-c%11ccc(-c%12cccc%13cscc%12%13)c%12cscc%11%12)c%11cscc%10%11)c%10cscc9%10)cccc78)cccc56)cccc34)cccc2c1	BrC1=CC=C(Br)C2=CSC=C12	BrC1=CC=CC2=C(Br)C=CC=C12	AAAABBBB	['AAAABBBB', 'BrC1=CC=C(Br)C2=CSC=C12', 'BrC1=CC=CC2=C(Br)C=CC=C12']	15	26				-5.310077668685957	-1.493064573078624	2.5562694552356646	1.1199211228253365
2_26_01	-5.5284	-2.6094	3.387	3.2699	c1csc(-c2cccc3c(-c4ccc(-c5cccc6c(-c7ccc(-c8cccc9c(-c%10ccc(-c%11cccc%12ccccc%11%12)s%10)cccc89)s7)cccc56)s4)cccc23)c1	BrC1=CC=C(Br)S1	BrC1=CC=CC2=C(Br)C=CC=C12	AB	['AB', 'BrC1=CC=C(Br)S1', 'BrC1=CC=CC2=C(Br)C=CC=C12']	3	26				-5.515531794901227	-1.4369781341713463	2.760708080590714	1.3253526002843339
