ID,xTB_IP,xTB_EA,xTB_Opticalgap,xTB_oscillator_strength,Smiles,A,B,Sequence,check,Monomer_no_A,Monomer_no_B,TDDFT_Opticalgap,DFT_IP,DFT_EA,IP_cal,EA_cal,Opticalgap_cal
18_18_01,-5.676,-2.7369,4.081,4.6468,c1ccc2cc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16ccccc%16c%15)ccc%14c%13)ccc%12c%11)ccc%10c9)ccc8c7)ccc6c5)ccc4c3)ccc2c1,BrC1=CC2=CC=C(Br)C=C2C=C1,BrC1=CC2=CC=C(Br)C=C2C=C1,AB,"['AB', 'BrC1=CC2=CC=C(Br)C=C2C=C1', 'BrC1=CC2=CC=C(Br)C=C2C=C1']",18,18,,,,-5.255081790887494,-1.970941627502222,3.2257774523713305
30_30_01,-6.4614,-3.9185,3.4730000000000003,0.0107,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16cccnc%15%16)ccnc%13%14)ccnc%11%12)ccnc9%10)ccnc78)ccnc56)ccnc34)ccnc2c1,BrC1=CC=NC2=C(Br)C=CN=C12,BrC1=CC=NC2=C(Br)C=CN=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=CN=C12', 'BrC1=CC=NC2=C(Br)C=CN=C12']",30,30,,,,-5.992233308466842,-3.0602405507127917,2.8631045048134114
16_16_01,-5.8761,-4.3652,2.4130000000000003,5.2689,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9nonc89)c8nonc78)c7nonc67)c6nonc56)c5nonc45)c4nonc34)c3nonc23)c2nonc2c1,BrC1=CC=C(Br)C2=NON=C12,BrC1=CC=C(Br)C2=NON=C12,AB,"['AB', 'BrC1=CC=C(Br)C2=NON=C12', 'BrC1=CC=C(Br)C2=NON=C12']",16,16,,,,-5.442889301286816,-3.4720464317200372,2.2308128528209874
61_61_01,-5.9857,-3.1765,4.186,9.6155,O=S1(=O)c2ccccc2-c2ccc(-c3ccc4c(c3)S(=O)(=O)c3cc(-c5ccc6c(c5)S(=O)(=O)c5cc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9ccc%10c(c9)S(=O)(=O)c9cc(-c%11ccc%12c(c%11)S(=O)(=O)c%11cc(-c%13ccc%14c(c%13)S(=O)(=O)c%13cc(-c%15ccc%16c(c%15)S(=O)(=O)c%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)cc21,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O,BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O,AB,"['AB', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O', 'BrC1=CC2=C(C=C1)C1=C(C=C(Br)C=C1)S2(=O)=O']",61,61,,,,-5.545756383444565,-2.376202127369661,3.2884101160120895
0_0_01,-4.1194,-1.5238,3.113,3.04,c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc[nH]8)[nH]7)[nH]6)[nH]5)[nH]4)[nH]3)[nH]2)c1,BrC1=CC=C(Br)N1,BrC1=CC=C(Br)N1,AB,"['AB', 'BrC1=CC=C(Br)N1', 'BrC1=CC=C(Br)N1']",1,1,,,,-3.794106425132448,-0.8526033372629351,2.6483639437593807
27_27_01,-6.2579,-3.306,4.004,2.6895,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16ccccc%15%16)cccc%13%14)cccc%11%12)cccc9%10)cccc78)cccc56)cccc34)cccc2c1,BrC1=CC=NC2=C(Br)C=CC=C12,BrC1=CC=NC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=CC=C12', 'BrC1=CC=NC2=C(Br)C=CC=C12']",27,27,,,,-5.801234665956787,-2.495586191821057,3.1798468323681073
14_14_01,-5.5837,-2.5092,3.975,3.0508,c1cc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8cccc9sccc89)c8sccc78)c7sccc67)c6sccc56)c5sccc45)c4sccc34)c3sccc23)c2sccc2c1,BrC1=CC=C(Br)C2=C1SC=C2,BrC1=CC=C(Br)C2=C1SC=C2,AB,"['AB', 'BrC1=CC=C(Br)C2=C1SC=C2', 'BrC1=CC=C(Br)C2=C1SC=C2']",14,14,,,,-5.168451939763769,-1.7610284886946337,3.162548287172088
52_52_01,-5.3805,-3.2082,3.214,11.6604,c1cc2cc3oc(-c4cc5cc6oc(-c7cc8cc9oc(-c%10cc%11cc%12oc(-c%13cc%14cc%15oc(-c%16cc%17cc%18oc(-c%19cc%20cc%21oc(-c%22cc%23cc%24occc%24cc%23o%22)cc%21cc%20o%19)cc%18cc%17o%16)cc%15cc%14o%13)cc%12cc%11o%10)cc9cc8o7)cc6cc5o4)cc3cc2o1,BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1,BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1', 'BrC1=CC2=CC3=C(C=C(Br)O3)C=C2O1']",52,52,,,,-4.977734867734072,-2.4054258713318952,2.708610601166206
51_51_01,-4.4537,-2.3411,3.2960000000000003,10.3174,c1cc2cc3[nH]c(-c4cc5cc6[nH]c(-c7cc8cc9[nH]c(-c%10cc%11cc%12[nH]c(-c%13cc%14cc%15[nH]c(-c%16cc%17cc%18[nH]c(-c%19cc%20cc%21[nH]c(-c%22cc%23cc%24[nH]ccc%24cc%23[nH]%22)cc%21cc%20[nH]%19)cc%18cc%17[nH]%16)cc%15cc%14[nH]%13)cc%12cc%11[nH]%10)cc9cc8[nH]7)cc6cc5[nH]4)cc3cc2[nH]1,BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1,BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1,AB,"['AB', 'BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1', 'BrC1=CC2=CC3=C(C=C(Br)N3)C=C2N1']",51,51,,,,-4.107869797078942,-1.6060596760747141,2.7575237289618464
29_29_01,-6.5844,-3.7111,4.032,2.1925,c1cnc2c(-c3ccnc4c(-c5ccnc6c(-c7ccnc8c(-c9ccnc%10c(-c%11ccnc%12c(-c%13ccnc%14c(-c%15ccnc%16ccncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2c1,BrC1=CC=NC2=C(Br)C=NC=C12,BrC1=CC=NC2=C(Br)C=NC=C12,AB,"['AB', 'BrC1=CC=NC2=C(Br)C=NC=C12', 'BrC1=CC=NC2=C(Br)C=NC=C12']",29,29,,,,-6.1076772054139505,-2.8690416706570434,3.196548876005643
33_33_01,-6.2641,-3.5205,3.784,2.3483,c1cc2cncc(-c3cncc4c(-c5cncc6c(-c7cncc8c(-c9cncc%10c(-c%11cncc%12c(-c%13cncc%14c(-c%15cncc%16ccncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)c2cn1,BrC1=CN=CC2=C(Br)C=NC=C12,BrC1=CN=CC2=C(Br)C=NC=C12,AB,"['AB', 'BrC1=CN=CC2=C(Br)C=NC=C12', 'BrC1=CN=CC2=C(Br)C=NC=C12']",33,33,,,,-5.807053789217535,-2.6933304530166113,3.0486164895017547
50_50_01,-4.7397,-3.3035,2.749,11.0519,c1cc2sc3cc(-c4cc5sc6cc(-c7cc8sc9cc(-c%10cc%11sc%12cc(-c%13cc%14sc%15cc(-c%16cc%17sc%18cc(-c%19cc%20sc%21cc(-c%22cc%23sc%24ccsc%24c%23s%22)sc%21c%20s%19)sc%18c%17s%16)sc%15c%14s%13)sc%12c%11s%10)sc9c8s7)sc6c5s4)sc3c2s1,BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1,BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1,AB,"['AB', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1', 'BrC1=CC2=C(S1)C1=C(S2)C=C(Br)S1']",50,50,,,,-4.376300321687668,-2.493281480152111,2.431237376471416
41_41_01,-6.0798,-3.4715,3.664,3.1757,c1ccc2c(-c3ncc(-c4ncc(-c5ncc(-c6ncc(-c7ncc(-c8ncc(-c9nccc%10ccccc9%10)c9ccccc89)c8ccccc78)c7ccccc67)c6ccccc56)c5ccccc45)c4ccccc34)cncc2c1,BrC1=C2C=CC=CC2=C(Br)N=C1,BrC1=C2C=CC=CC2=C(Br)N=C1,AB,"['AB', 'BrC1=C2C=CC=CC2=C(Br)N=C1', 'BrC1=C2C=CC=CC2=C(Br)N=C1']",41,41,,,,-5.634075657450443,-2.6481581043052724,2.9770363024837447
31_31_01,-6.0969,-3.0315,4.069,2.9101,c1ccc2c(-c3cccc4c(-c5cccc6c(-c7cccc8c(-c9cccc%10c(-c%11cccc%12c(-c%13cccc%14c(-c%15cccc%16ccncc%15%16)cncc%13%14)cncc%11%12)cncc9%10)cncc78)cncc56)cncc34)cncc2c1,BrC1=CN=CC2=C(Br)C=CC=C12,BrC1=CN=CC2=C(Br)C=CC=C12,AB,"['AB', 'BrC1=CN=CC2=C(Br)C=CC=C12', 'BrC1=CN=CC2=C(Br)C=CC=C12']",31,31,,,,-5.650125174830895,-2.242528850570802,3.21861943366953
22_22_01,-6.5094,-3.8695,3.745,0.0064,c1cnc2ncc(-c3ccc4cc(-c5ccc6cc(-c7ccc8cc(-c9ccc%10cc(-c%11ccc%12cc(-c%13ccc%14cc(-c%15ccc%16cccnc%16n%15)cnc%14n%13)cnc%12n%11)cnc%10n9)cnc8n7)cnc6n5)cnc4n3)cc2c1,BrC1=CN=C2N=C(Br)C=CC2=C1,BrC1=CN=C2N=C(Br)C=CC2=C1,AB,"['AB', 'BrC1=CN=C2N=C(Br)C=CC2=C1', 'BrC1=CN=C2N=C(Br)C=CC2=C1']",22,22,,,,-6.03728458532425,-3.0150682020014528,3.025352928720902
10_10_01,-4.7402,-3.2469,2.659,9.3199,c1cc2sc(-c3cc4sc(-c5cc6sc(-c7cc8sc(-c9cc%10sc(-c%11cc%12sc(-c%13cc%14sc(-c%15cc%16sccc%16s%15)cc%14s%13)cc%12s%11)cc%10s9)cc8s7)cc6s5)cc4s3)cc2s1,BrC1=CC2=C(S1)C=C(Br)S2,BrC1=CC2=C(S1)C=C(Br)S2,AB,"['AB', 'BrC1=CC2=C(S1)C=C(Br)S2', 'BrC1=CC2=C(S1)C=C(Br)S2']",10,10,,,,-4.376769605821599,-2.441102807967177,2.377552236207908
